Argila,x,y
450.0,262972.0,7107714.0
450.0,693013.0,7183788.0
280.0,600510.0,7187016.0
460.0,601107.0,7267858.0
190.0,515059.0,7212853.0
260.0,501972.0,7282621.0
260.0,467698.0,7216146.0
190.0,414286.0,7215914.0
830.0,478564.0,7421345.0
830.0,427276.0,7312371.0
810.0,424164.0,7262526.0
760.0,446225.0,7223873.0
470.0,682337.0,7159978.0
470.0,711568.0,7209408.0
124.0,700876.0,7190471.0
104.0,700784.0,7190497.0
190.0,440279.0,7417811.0
490.0,456309.0,7407628.0
750.0,555813.0,7134300.0
760.0,672075.0,7180998.0
480.0,303004.0,7229350.0
810.0,362929.0,7337822.0
220.0,300761.0,7324031.0
670.0,213111.0,7312121.0
650.0,263342.0,7311470.0
660.0,301875.0,7283034.0
820.0,218719.0,7264796.0
410.0,258535.0,7106469.0
680.0,333790.0,7104531.0
740.0,188690.0,7202433.0
830.0,379052.0,7120078.0
610.0,415768.0,7069172.0
770.0,460978.0,7071985.0
830.0,360926.0,7196080.0
750.0,436610.0,7147964.0
730.0,575267.0,7422666.0
