,"PRECIPITAÇÃO TOTAL, HORÁRIO (mm)","PRESSAO ATMOSFERICA AO NIVEL DA ESTACAO, HORARIA (mB)",PRESSÃO ATMOSFERICA MAX.NA HORA ANT. (AUT) (mB),PRESSÃO ATMOSFERICA MIN. NA HORA ANT. (AUT) (mB),RADIACAO GLOBAL (KJ/m²),"TEMPERATURA DO AR - BULBO SECO, HORARIA (°C)",TEMPERATURA DO PONTO DE ORVALHO (°C),TEMPERATURA MÁXIMA NA HORA ANT. (AUT) (°C),TEMPERATURA MÍNIMA NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MAX. NA HORA ANT. (AUT) (°C),TEMPERATURA ORVALHO MIN. NA HORA ANT. (AUT) (°C),UMIDADE REL. MAX. NA HORA ANT. (AUT) (%),UMIDADE REL. MIN. NA HORA ANT. (AUT) (%),"UMIDADE RELATIVA DO AR, HORARIA (%)","VENTO, DIREÇÃO HORARIA (gr) (° (gr))","VENTO, RAJADA MAXIMA (m/s)","VENTO, VELOCIDADE HORARIA (m/s)",CIDADE,LATITUDE,LONGITUDE,X,Y
12,0.1581967213114753,970.2472131147542,970.555081967213,969.9496721311476,1548.791147540984,24.32540983606556,16.558196721311475,24.99229508196722,23.679508196721315,17.1355737704918,16.007377049180334,68.44344262295083,62.4388524590164,65.4460655737705,139.15852459016398,5.841803278688525,2.368524590163933,"DIAMANTE DO NORTE, Parana, Brazil",-22.6565442,-52.8589113,308993.6372858917,7493306.018842
13,0.1799999999999999,976.923114754098,977.2462295081964,976.6059016393444,1504.7075409836068,24.36213114754098,16.4683606557377,25.12163934426229,23.625081967213102,17.108196721311472,15.8688524590164,68.38098360655736,61.80540983606558,65.07245901639344,218.3618032786885,6.572295081967214,3.2568852459016395,"PARANAPOEMA, Parana, Brazil",-22.6561084,-52.0865163,388367.34300367814,7494140.362627
14,0.2895081967213116,966.7906557377048,967.1068852459018,966.4785245901644,1402.6996721311475,22.432622950819667,15.278524590163938,23.083442622950827,21.811803278688544,15.826721311475414,14.76409836065574,70.73098360655736,65.14196721311474,67.97065573770489,137.7247540983607,5.941147540983605,2.868196721311476,"PLANALTO, Parana, Brazil",-25.7184492,-53.767216,222338.91399574158,7152584.350293
15,0.2114754098360655,970.5580327868856,970.8693442622948,970.2639344262296,1457.3990163934427,24.15983606557377,16.03311475409836,24.85180327868851,23.466557377049178,16.618688524590166,15.49639344262295,67.19147540983607,61.29131147540983,64.18737704918031,162.71590163934422,5.045409836065571,1.7737704918032784,"CIDADE GAUCHA, Parana, Brazil",-23.3816558,-52.9444098,301272.23246750864,7412891.467567
16,0.1760655737704918,935.6563934426232,935.9498360655738,935.3639344262292,1390.9549180327867,21.00672131147541,14.725245901639344,21.62934426229509,20.41245901639344,15.259180327868854,14.163770491803277,73.72967213114758,68.40360655737703,71.03786885245901,154.9768852459017,5.892622950819671,2.410655737704918,"JAPIRA, Parana, Brazil",-23.8119773,-50.1397133,587629.5783509227,7366324.315852
17,0.2202083333333332,894.0297916666665,894.2922916666661,893.7650000000003,1334.545833333333,18.282291666666666,13.48166666666666,18.9075,17.708541666666676,13.997916666666653,12.992291666666654,79.1345833333334,73.64791666666667,76.4985416666667,131.13062499999998,7.126875000000005,3.8110416666666698,"VENTANIA, Parana, Brazil",-24.2470771,-50.245452,576600.1285541082,7318211.000749
18,0.2008196721311475,1008.785901639344,1009.1034426229508,1008.4795081967212,1059.4918032786886,20.570819672131147,18.03311475409836,21.070327868852456,20.11295081967213,18.52213114754099,17.57639344262295,89.19967213114754,84.44983606557376,86.9222950819672,153.87393442622957,2.7555737704918037,0.7724590163934428,"MORRETES, Parana, Brazil",-25.4770051,-48.8321911,717933.8379694977,7180458.471463
19,0.22,927.4718749999998,927.7783333333336,927.1641666666668,940.2189583333334,18.016041666666663,14.336041666666668,18.675625000000004,17.386875,14.939791666666665,13.783750000000005,84.69062500000001,79.09541666666668,81.93937499999998,203.0270833333334,3.2531250000000007,0.7364583333333335,"SAO MATEUS DO SUL, Parana, Brazil",-25.866823,-50.382796,561838.5620828914,7138919.220534
20,0.307704918032787,902.6722950819671,902.9668852459018,902.3834426229512,1114.9618032786875,16.767377049180325,13.51622950819672,17.46704918032787,16.120655737704915,14.13901639344262,12.941147540983604,86.28245901639342,81.0695081967213,83.7604918032787,182.88245901639348,4.180327868852459,1.1978688524590162,"GENERAL CARNEIRO, Parana, Brazil",-26.422982,-51.3146691,468622.18562976224,7077433.861257
21,0.2690163934426229,905.9072131147544,906.2003278688526,905.6157377049182,1274.6193442622953,18.039344262295085,12.609672131147544,18.70508196721312,17.411147540983606,13.214426229508195,12.023934426229507,76.26836065573771,70.03049180327868,73.2055737704918,179.96131147540976,7.016721311475408,3.512131147540983,"CLEVELANDIA, Parana, Brazil",-26.404065,-52.3513972,365213.73730394576,7078860.302286
22,0.2481481481481482,945.189259259259,945.4974074074076,944.907037037037,1487.6762962962964,23.23185185185185,16.53259259259259,23.88111111111111,22.538148148148142,17.100000000000005,15.975555555555552,71.52666666666666,66.26703703703701,68.81333333333335,133.10444444444445,6.500370370370373,3.391481481481483,"CAMPINA DA LAGOA, Parana, Brazil",-24.5937926,-52.8038965,317355.5647543166,7278832.931235
23,0.2511111111111111,921.0759259259258,921.366296296296,920.811111111111,1494.101851851852,19.64222222222222,14.317407407407412,20.447407407407404,18.84037037037037,15.003333333333332,13.691481481481487,78.74592592592596,71.30111111111111,74.99740740740742,189.53962962962964,4.857037037037037,1.803703703703703,"LARANJEIRAS DO SUL, Parana, Brazil",-25.4073197,-52.4150132,357676.5597821508,7189194.942931
24,0.2514814814814815,909.8914814814816,910.214074074074,909.5829629629628,1128.5055555555557,17.064444444444447,14.23777777777778,17.595185185185183,16.576666666666668,14.710370370370368,13.79148148148148,88.55444444444444,83.54074074074073,85.81555555555555,124.77148148148147,4.89074074074074,1.5337037037037036,"COLOMBO, Parana, Brazil",-25.3094603,-49.18507242898573,682701.9513958807,7199548.096183
